Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2026-01-20,Chinatown,1974,https://boxd.it/cIMtM7,,Yes,"imagine doing all that work, asking all the questions, connecting all the dots, getting all the answers… and the universe still goes ‘lol anyway’

greed in a fedora. corruption in perfect lighting.
one of the coldest endings ever filmed. chinatown just leaves you face down in the gutter like it’s normal.

and that’s what makes it feel so 2026: the evil isn’t dramatic. it’s casual. it’s procedural. it’s just ‘how things work here.’

jake’s taped up nose the whole time is such a detail too. like a permanent reminder he walked into a game he was never meant to win.

actual brain rot levels of hopeless.
i need a cigarette. this film hates women and i’m beefing back.",,2026-01-19
2026-01-24,Sonatine,1993,https://boxd.it/cMsaiX,4,,"nihilism goes to Okinawa, tries to touch grass, and decides the only thing more exhausting than organised crime is having a personality. grown men go on vacation and still can’t escape being terrifying. beach games, dumb laughs, then boom Kitano pulls the rug and suddenly it’s existential dread with a gun.",,2026-01-23
2026-01-29,Marty Supreme,2025,https://boxd.it/cStVS5,3.5,,"josh safdie looked at greta gerwig's legacy of radical empathy and said, ""no thanks, i'd rather watch timothée chalamet get psychologically spanked for a japan trip.""honestly writing that first sentence made my brain itch.its not that deep, he spends two hours looking like a vintage postcard having a panic attack and it's the most honest he's ever been. it's frantic, niche, and smells like hair grease and a mid life crisis at twenty four. aesthetic 10/10 ,dignity in the dumpster behind the gym.",,2026-01-28
2026-01-30,Death Proof,2007,https://boxd.it/cThRz9,3.5,,"men will watch this and talk about the cinematography of the car chase or whatever, i’m just here for a 113-minute vlog of girls talking shit before a car crash and the absolute state of zoe bell’s neck muscles.",,2026-01-29
2026-01-31,Interstellar,2014,https://boxd.it/cU81cX,1.5,Yes,Rewatching solely because i can’t stop thinking about the ‘ugly men long movie’ tag. and yes <b>zehra</b> your review is still echoing in my head lmao 😭,,2026-01-30
2026-02-02,The Killing of a Chinese Bookie,1976,https://boxd.it/cWqyyr,3.5,,self esteem so committed it becomes a stage production.,,2026-02-01
2026-02-04,Jamon Jamon,1992,https://boxd.it/cYUWfV,2.5,,"horny folklore about libido as social mobility. nobody climbs the class ladder, just each other. way too aware of how hot everyone looks while ruining their lives. satire with lip gloss and a knife behind its back.",vintage postcards having panic attacks,2026-02-04
2026-02-05,Rapture,1979,https://boxd.it/cZhvAD,2,,"la movida madrileña’s final, darkest horcrux. film nerds say ‘meta’ like it’s cute, this is just a guy getting ghosted by reality and choosing 8mm over sobriety. heroin, obsession, and that specific brand of european apartment where everyone looks malnourished but spiritually overqualified. cinema as a toxic situationship and the camera is the one doing drugs.",vintage postcards having panic attacks,2026-02-04
2026-02-05,Thesis,1996,https://boxd.it/cZUc7l,4,,coming-of-age but the age you cum into is realizing you’d rather watch the snuff film than stop it.,curiosity killed the cat,2026-02-05
2026-02-07,Talk to Her,2002,https://boxd.it/d0XzzH,0.5,,"tenderness without consent, framed as romance and left to rot in plain sight.",curiosity killed the cat,2026-02-06
2026-02-07,Ajab Prem Ki Ghazab Kahani,2009,https://boxd.it/d12FCd,5,Yes,"movie taste lately feels a little too pretentious and try hard to me. rewatching to remind myself what i grew up on. it’s silly, loud, emotionally obvious, and weirdly sincere about it. songs you remember by muscle memory, and jokes that shouldn’t work, but somehow do. and yes, i was a salman khan fan once, and still can’t get over his laugh memes lmao.",,2026-02-06
2026-02-08,Hamnet,2025,https://boxd.it/d1FQtf,5,,"watched this like i was trespassing on someone else’s grief. slow, hushed, and absolutely uninterested in performing sadness for you. chloé zhao shoots absence like a physical space you keep walking into. it just sits there, lets loss rot gently in the corners, and trusts you to feel it or not. nothing dramatic happens, and yet everything does. the kind of film that makes you stare at the wall after, wondering how love survives something it can’t fix.",,2026-02-07
2026-02-15,Dogfight,1991,https://boxd.it/d7U4Il,4,,"went in expecting male ego humiliation olympics.
stayed for the softest, quietest character undoing i’ve seen in a while.

it starts ugly. like actually ugly. the whole ‘bring the ugliest date’ premise made me physically recoil. you spend the first act wanting to punch every man in uniform.

then the film does something annoying  it gives him interiority. what got me wasn’t romance, but the quiet shift when mockery turns into listening.

small film. weirdly lingering. i’m still thinking about that table scene.",,2026-02-14
2026-02-20,Dinner in America,2020,https://boxd.it/dd38D3,3.5,,hot topic anarchism meets reagan era rot and somehow it’s the healthiest love story of the decade?? idk.,very midwest anarchy thrift store normcore,2026-02-19
2026-02-22,Swimming Pool,2003,https://boxd.it/dfAyD3,,Yes,Manuscript mid? girlrot by the pool until a murder materializes.,literary gaslighting,2026-02-22
2026-02-23,Train Dreams,2025,https://boxd.it/dg19FH,3,,this could’ve been a 15 second slide deck but he had to make losing his family a whole cinematic event,,2026-02-22
2026-02-25,eXistenZ,1999,https://boxd.it/dhUGph,4,Yes,"Everything is wet, penetrative, and politically confused. the way she’s serving 1940s trad wife silhouettes and a perfect red lip while the sound design is doing a world ending carry in the background is such a psychotic flex. we love a domestic nightmare that looks like a vogue spread for the apocalypse.",,2026-02-24
2026-02-26,Reprise,2006,https://boxd.it/diMuPl,3.5,,"joachim trier invents the original <b>i’m working on something big </b>guy. this is what happens when your biggest relationship is with the version of you who already has a successful substack.
ambition as fanfiction.",,2026-02-25
2026-02-28,Perfect Blue,1997,https://boxd.it/dkEkUd,4.5,,"whoever recommended i watch this as my first anime... fuck you first. my digital footprint is already a disaster and now i have to live knowing satoshi kon spent 82 minutes professionally gaslighting me. it’s giving ‘the industrial revolution and its consequences have been a disaster for the girlies who just wanted to wear ribbons and act in a procedural.’you think your stalker is scary? try being haunted by a past version of yourself that won’t stop singing j-pop while you’re trying to dissociate in a bathtub. cinematic, brutal, and made me feel like my own reflection is about to start a podcast i didn’t consent to.",,2026-02-28
